creation_date,id,link_type,tags,channel,feature,creation_source,clicks,installs
2015-01-15T03:32:22.031Z,84100000000000000,marketing_link,null,AB,marketing,Dashboard,2,0
2015-01-21T17:37:58.787Z,86500000000000000,marketing_link,"[""Android""]",AB Email,marketing,Dashboard,22,1
2015-01-21T17:36:38.729Z,86500000000000000,marketing_link,"[""iOS""]",AB Email,marketing,Dashboard,35,10
2015-01-23T20:36:10.626Z,87300000000000000,marketing_link,"[""AKQA"",""Android""]",AKQA,marketing,Dashboard,2,0
2015-01-23T20:35:11.270Z,87300000000000000,marketing_link,"[""AKQA"",""iOS""]",AKQA,marketing,Dashboard,3,1
2015-01-15T03:42:43.169Z,84100000000000000,marketing_link,null,BL Info page,marketing,Dashboard,309,7
2015-01-15T03:42:23.553Z,84100000000000000,marketing_link,null,BL Info page,marketing,Dashboard,538,53
2014-12-12T23:55:03.028Z,72100000000000000,marketing_link,null,BLWeb,marketing,Dashboard,37,1
2015-02-13T19:57:55.505Z,94900000000000000,marketing_link,null,email,marketing,Dashboard,2,0
2015-01-20T20:11:16.408Z,86200000000000000,marketing_link,"[""Post"",""AKQA""]",Facebook,marketing,Dashboard,1826,0
2015-01-17T00:17:28.246Z,84800000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,2,0
2015-01-16T18:44:32.239Z,84700000000000000,original,null,facebook,share,SDK,0,0
2015-01-16T05:28:51.468Z,84500000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2015-01-16T04:40:40.697Z,84500000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2015-01-16T04:40:20.761Z,84500000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2015-01-16T02:45:48.361Z,84500000000000000,marketing_link,"[""iOS"",""DC_Vicinity""]",Facebook,marketing,Dashboard,0,0
2015-01-16T02:44:51.272Z,84500000000000000,marketing_link,"[""iOS"",""DC""]",Facebook,marketing,Dashboard,1,0
2015-01-16T02:44:21.716Z,84500000000000000,marketing_link,"[""Android"",""DC_Vicinity""]",Facebook,marketing,Dashboard,0,0
2015-01-16T02:42:56.559Z,84500000000000000,marketing_link,"[""Android"",""DC""]",Facebook,marketing,Dashboard,11,0
2015-01-16T00:13:24.894Z,84400000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2015-01-16T00:13:20.254Z,84400000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2015-01-15T03:29:55.991Z,84100000000000000,marketing_link,"[""Post""]",Facebook,marketing,Dashboard,4226,207
2014-12-30T02:13:25.862Z,78300000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-26T22:00:38.649Z,77100000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-24T07:16:16.974Z,76200000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-23T19:13:55.903Z,76000000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-23T18:49:41.621Z,76000000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-23T18:49:30.187Z,76000000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-23T00:38:22.332Z,75700000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-22T22:35:10.691Z,75700000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-22T22:00:37.726Z,75700000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-20T01:10:49.988Z,74700000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-19T16:44:33.747Z,74500000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2014-12-18T21:03:01.508Z,74200000000000000,original,"[""version1"",""trial6""]",facebook,share,SDK,0,0
2015-01-15T03:31:34.348Z,84100000000000000,marketing_link,null,Klink,marketing,Dashboard,1,0
