creation_date,id,event_name,close_time,identity_id,metadata
2015-02-21T19:12:24.986Z,97759700000000000,open,null,97757600000000000,"{""ip"":""108.48.161.58"",""referred"":false}"
2015-02-21T19:12:18.006Z,97759600000000000,open,"""2015-02-21T19:12:20.994Z""",97755900000000000,"{""ip"":""166.170.32.65"",""referred"":false}"
2015-02-21T19:11:48.163Z,97759500000000000,open,"""2015-02-21T19:12:17.810Z""",97755900000000000,"{""ip"":""166.170.32.65"",""referred"":false}"
2015-02-21T19:11:43.423Z,97759500000000000,open,"""2015-02-21T19:11:49.571Z""",97757600000000000,"{""ip"":""108.48.161.58"",""referred"":false}"
2015-02-21T19:11:05.254Z,97759300000000000,open,"""2015-02-21T19:11:47.996Z""",97755900000000000,"{""ip"":""166.170.32.65"",""referred"":false}"
2015-02-21T19:10:51.961Z,97759300000000000,open,"""2015-02-21T19:11:42.620Z""",97757600000000000,"{""ip"":""108.48.161.58"",""referred"":false}"
2015-02-21T19:09:17.044Z,97758900000000000,open,null,97757600000000000,"{""ip"":""108.48.161.58"",""referred"":false}"
2015-02-21T19:08:25.828Z,97758700000000000,open,"""2015-02-21T19:08:40.484Z""",96735500000000000,"{""ip"":""70.208.143.94"",""referred"":false}"
2015-02-21T19:07:40.917Z,97758500000000000,open,"""2015-02-21T19:09:01.596Z""",97757600000000000,"{""ip"":""108.48.161.58"",""referred"":false}"
2015-02-21T19:06:35.315Z,97758200000000000,referred session,"""2015-02-21T19:07:38.299Z""",97757600000000000,"{""ip"":""108.48.161.58""}"
2015-02-21T19:06:35.315Z,97758200000000000,open,"""2015-02-21T19:07:38.299Z""",97757600000000000,"{""ip"":""108.48.161.58"",""referred"":true}"
2015-02-21T19:06:30.488Z,97758200000000000,referred session,"""2015-02-21T19:06:31.047Z""",97757600000000000,"{""ip"":""108.48.161.58""}"
2015-02-21T19:06:30.487Z,97758200000000000,install,"""2015-02-21T19:06:31.047Z""",97757600000000000,"{""ip"":""108.48.161.58"",""referred"":true}"
2015-02-21T19:06:03.181Z,97758100000000000,open,"""2015-02-21T19:06:07.449Z""",97755900000000000,"{""ip"":""76.111.105.130"",""referred"":false}"
2015-02-21T19:05:27.629Z,97757900000000000,open,"""2015-02-21T19:05:40.068Z""",97755900000000000,"{""ip"":""76.111.105.130"",""referred"":false}"
2015-02-21T19:04:06.965Z,97757600000000000,open,"""2015-02-21T19:05:26.674Z""",97755900000000000,"{""ip"":""76.111.105.130"",""referred"":false}"
2015-02-21T19:03:20.819Z,97757400000000000,Placed Order,null,97755900000000000,"{""Tax"":2.69,""Tip"":3.45,""OrderHash"":574,""Grand Total"":33,""Quantity"":24,""Delivery Fee"":3.87,""ip"":""76.111.105.130""}"
2015-02-21T19:03:04.515Z,97757300000000000,install,"""2015-02-21T19:03:05.294Z""",97757300000000000,"{""ip"":""24.45.145.6"",""referred"":false}"
2015-02-21T19:00:59.025Z,97756800000000000,open,null,97755900000000000,"{""ip"":""76.111.105.130"",""referred"":false}"
2015-02-21T19:00:55.822Z,97756800000000000,open,"""2015-02-21T19:00:58.769Z""",97755900000000000,"{""ip"":""76.111.105.130"",""referred"":false}"
2015-02-21T19:00:31.971Z,97756700000000000,install,"""2015-02-21T19:01:43.837Z""",97756700000000000,"{""ip"":""100.36.94.224"",""referred"":false}"
2015-02-21T18:57:34.892Z,97755900000000000,install,"""2015-02-21T19:00:55.661Z""",97755900000000000,"{""ip"":""76.111.105.130"",""referred"":false}"
2015-02-21T18:56:57.848Z,97755800000000000,referred session,"""2015-02-21T18:57:14.906Z""",97755200000000000,"{""ip"":""71.255.247.32""}"
2015-02-21T18:56:57.848Z,97755800000000000,open,"""2015-02-21T18:57:14.906Z""",97755200000000000,"{""ip"":""71.255.247.32"",""referred"":true}"
2015-02-21T18:56:00.512Z,97755500000000000,open,"""2015-02-21T18:56:01.393Z""",97754600000000000,"{""ip"":""50.35.187.52"",""referred"":false}"
2015-02-21T18:54:50.650Z,97755200000000000,open,"""2015-02-21T18:56:22.530Z""",97755200000000000,"{""ip"":""71.255.247.32"",""referred"":false}"
2015-02-21T18:54:38.753Z,97755200000000000,install,"""2015-02-21T18:54:39.373Z""",97755200000000000,"{""ip"":""71.255.247.32"",""referred"":false}"
2015-02-21T18:52:23.827Z,97754600000000000,open,"""2015-02-21T18:56:00.406Z""",97754600000000000,"{""ip"":""50.35.187.52"",""referred"":false}"
2015-02-21T18:52:19.980Z,97754600000000000,install,"""2015-02-21T18:52:20.845Z""",97754600000000000,"{""ip"":""50.35.187.52"",""referred"":false}"
2015-02-21T18:38:32.003Z,97751100000000000,open,"""2015-02-21T18:38:53.708Z""",97751100000000000,"{""ip"":""172.56.3.118"",""referred"":false}"
2015-02-21T18:38:27.285Z,97751100000000000,install,"""2015-02-21T18:38:27.925Z""",97751100000000000,"{""ip"":""172.56.3.118"",""referred"":false}"
2015-02-21T18:34:53.796Z,97750200000000000,open,"""2015-02-21T18:37:17.060Z""",97749100000000000,"{""ip"":""208.58.64.107"",""referred"":false}"
2015-02-21T18:34:29.723Z,97750100000000000,open,"""2015-02-21T18:34:38.538Z""",97749100000000000,"{""ip"":""208.58.64.107"",""referred"":false}"
2015-02-21T18:34:12.251Z,97750000000000000,open,"""2015-02-21T18:34:14.964Z""",97749100000000000,"{""ip"":""208.58.64.107"",""referred"":false}"
2015-02-21T18:34:03.491Z,97750000000000000,open,"""2015-02-21T18:34:11.708Z""",97749100000000000,"{""ip"":""208.58.64.107"",""referred"":false}"
2015-02-21T18:33:48.237Z,97749900000000000,open,"""2015-02-21T18:33:59.634Z""",97749100000000000,"{""ip"":""208.58.64.107"",""referred"":false}"
2015-02-21T18:30:23.850Z,97749100000000000,install,"""2015-02-21T18:33:16.552Z""",97749100000000000,"{""ip"":""208.58.64.107"",""referred"":false}"
2015-02-21T18:29:31.159Z,97748900000000000,open,"""2015-02-21T18:29:45.202Z""",null,"{""ip"":""70.215.66.226"",""referred"":false}"
